experiment_id,cycle_id,meas_id,move_status,position_status,captured_at_utc,position_t,x,y,z,position,rotation_matrix_json,error
EXP001,1,1,ok,ok,2026-03-27T15:36:43.564470+00:00,16:36:41,1.749821533203125,2.558000732421875,0.737809326171875,"[1.749821533203125,2.558000732421875,0.737809326171875]",null,
EXP001,2,2,ok,ok,2026-03-27T15:46:55.080711+00:00,16:46:53,1.7528134765625,2.708052734375,0.7388499145507812,"[1.7528134765625,2.708052734375,0.7388499145507812]",null,
EXP001,3,3,ok,ok,2026-03-27T15:47:58.915375+00:00,16:47:57,1.75222705078125,2.855542236328125,0.7394678344726563,"[1.75222705078125,2.855542236328125,0.7394678344726563]",null,
EXP001,4,4,ok,ok,2026-03-27T15:48:53.284578+00:00,16:48:51,1.7526195068359376,3.007174072265625,0.73982861328125,"[1.7526195068359376,3.007174072265625,0.73982861328125]",null,
EXP001,5,5,ok,ok,2026-03-27T15:49:46.332811+00:00,16:49:44,1.7525877685546876,3.155267822265625,0.740607177734375,"[1.7525877685546876,3.155267822265625,0.740607177734375]",null,
EXP001,6,6,ok,ok,2026-03-27T15:50:39.535999+00:00,16:50:37,1.6020400390625,3.154594970703125,0.7399373168945312,"[1.6020400390625,3.154594970703125,0.7399373168945312]",null,
EXP001,7,7,ok,ok,2026-03-27T15:51:34.855216+00:00,16:51:33,1.6021484375,3.005616455078125,0.7391676025390626,"[1.6021484375,3.005616455078125,0.7391676025390626]",null,
EXP001,8,8,ok,ok,2026-03-27T15:52:28.583977+00:00,16:52:26,1.602020263671875,2.85528662109375,0.7389273681640625,"[1.602020263671875,2.85528662109375,0.7389273681640625]",null,
EXP001,9,9,ok,ok,2026-03-27T15:53:22.045602+00:00,16:53:20,1.603423095703125,2.70622021484375,0.73793798828125,"[1.603423095703125,2.70622021484375,0.73793798828125]",null,
EXP001,10,10,ok,ok,2026-03-27T15:54:15.331699+00:00,16:54:13,1.6028360595703126,2.55706884765625,0.7378165893554688,"[1.6028360595703126,2.55706884765625,0.7378165893554688]",null,
EXP001,11,11,ok,ok,2026-03-27T15:55:07.992582+00:00,16:55:06,1.450349853515625,2.55484033203125,0.7369068603515625,"[1.450349853515625,2.55484033203125,0.7369068603515625]",null,
EXP001,12,12,ok,ok,2026-03-27T15:56:01.003129+00:00,16:55:59,1.452866943359375,2.705134765625,0.7374494018554687,"[1.452866943359375,2.705134765625,0.7374494018554687]",null,
EXP001,13,13,ok,ok,2026-03-27T15:56:55.569646+00:00,16:56:53,1.4530960693359376,2.853493408203125,0.73800146484375,"[1.4530960693359376,2.853493408203125,0.73800146484375]",null,
EXP001,14,14,ok,ok,2026-03-27T15:57:49.274347+00:00,16:57:47,1.45272265625,3.00380419921875,0.7387025146484375,"[1.45272265625,3.00380419921875,0.7387025146484375]",null,
EXP001,15,15,ok,ok,2026-03-27T15:58:43.219673+00:00,16:58:41,1.4526881103515625,3.152167724609375,0.7393074340820313,"[1.4526881103515625,3.152167724609375,0.7393074340820313]",null,
EXP001,16,16,ok,ok,2026-03-27T15:59:37.318841+00:00,16:59:35,1.3047454833984375,3.152154052734375,0.7388776245117188,"[1.3047454833984375,3.152154052734375,0.7388776245117188]",null,
EXP001,17,17,ok,ok,2026-03-27T16:00:30.991361+00:00,17:00:29,1.302558837890625,3.001870849609375,0.73805712890625,"[1.302558837890625,3.001870849609375,0.73805712890625]",null,
EXP001,18,18,ok,ok,2026-03-27T16:01:25.030290+00:00,17:01:23,1.3030430908203126,2.85398779296875,0.7374100341796875,"[1.3030430908203126,2.85398779296875,0.7374100341796875]",null,
EXP001,19,19,ok,ok,2026-03-27T16:02:18.889755+00:00,17:02:17,1.3031949462890624,2.702588623046875,0.7371564331054687,"[1.3031949462890624,2.702588623046875,0.7371564331054687]",null,
EXP001,20,20,ok,ok,2026-03-27T16:03:12.836915+00:00,17:03:11,1.30378857421875,2.554428466796875,0.7366514282226563,"[1.30378857421875,2.554428466796875,0.7366514282226563]",null,
EXP001,21,21,ok,ok,2026-03-27T16:04:06.105209+00:00,17:04:04,1.151643798828125,2.55215380859375,0.7362481079101563,"[1.151643798828125,2.55215380859375,0.7362481079101563]",null,
EXP001,22,22,ok,ok,2026-03-27T16:04:59.051832+00:00,17:04:57,1.153655517578125,2.700792724609375,0.7367276000976563,"[1.153655517578125,2.700792724609375,0.7367276000976563]",null,
EXP001,23,23,ok,ok,2026-03-27T16:05:52.789725+00:00,17:05:50,1.1541983642578124,2.852127685546875,0.7369671630859375,"[1.1541983642578124,2.852127685546875,0.7369671630859375]",null,
